County,Net Generation  (Past Year)
"Alcona County, MI",167.4 GWh
"Allegan County, MI",277.9 GWh
"Alpena County, MI",255.1 GWh
"Baraga County, MI",341.1 GWh
"Bay County, MI",81.2 GWh
"Berrien County, MI",18.2 TWh
"Branch County, MI",43.2 GWh
"Calhoun County, MI",722.7 GWh
"Cass County, MI",6.2 TWh
"Charlevoix County, MI",71.0 MWh
"Cheboygan County, MI",5.0 GWh
"Chippewa County, MI",408.4 GWh
"Clare County, MI",8.0 GWh
"Clinton County, MI",44.8 GWh
"Crawford County, MI",134.1 GWh
"Delta County, MI",739.4 GWh
"Dickinson County, MI",441.3 GWh
"Eaton County, MI",1.3 TWh
"Genesee County, MI",228.2 GWh
"Gladwin County, MI",1.1 GWh
"Gogebic County, MI",9.2 GWh
"Grand Traverse County, MI",1.3 GWh
"Gratiot County, MI",2.2 TWh
"Hillsdale County, MI",377.7 GWh
"Huron County, MI",3.1 TWh
"Ingham County, MI",801.2 GWh
"Ionia County, MI",11.2 GWh
"Iosco County, MI",93.8 GWh
"Iron County, MI",105.3 GWh
"Isabella County, MI",1.3 TWh
"Jackson County, MI",2.1 TWh
"Kalamazoo County, MI",261.7 GWh
"Kalkaska County, MI",54.5 GWh
"Kent County, MI",302.2 GWh
"Lapeer County, MI",60.1 GWh
"Leelanau County, MI",3.4 GWh
"Lenawee County, MI",45.4 GWh
"Macomb County, MI",152.2 GWh
"Manistee County, MI",399.5 GWh
"Marquette County, MI",723.0 GWh
"Mason County, MI",313.3 GWh
"Mecosta County, MI",23.3 GWh
"Menominee County, MI",105.4 GWh
"Midland County, MI",10.3 TWh
"Missaukee County, MI",249.5 GWh
"Monroe County, MI",23.9 TWh
"Montcalm County, MI",1.4 TWh
"Muskegon County, MI",40.5 GWh
"Newaygo County, MI",107.8 GWh
"Oakland County, MI",21.2 GWh
"Ontonagon County, MI",52.7 GWh
"Osceola County, MI",19.4 GWh
"Oscoda County, MI",10.5 GWh
"Otsego County, MI",836.6 GWh
"Ottawa County, MI",15.2 TWh
"Saginaw County, MI",29.0 GWh
"Sanilac County, MI",415.6 GWh
"Schoolcraft County, MI",977.0 MWh
"Shiawassee County, MI",574.8 GWh
"St. Clair County, MI",16.9 TWh
"St. Joseph County, MI",39.6 GWh
"Tuscola County, MI",1.8 TWh
"Van Buren County, MI",7.2 TWh
"Washtenaw County, MI",264.8 GWh
"Wayne County, MI",5.8 TWh
"Wexford County, MI",175.9 GWh
