City,City URL,Data Center Name,Name,Address,Data Center URL,Latitude,Longitude
Chicago,https://www.datacentermap.com/usa/illinois/chicago/,350 East Cermak Road (ORD10),Digital Realty,"350 East Cermak Road, Chicago, IL, 60616, USA",https://www.datacentermap.com/usa/illinois/chicago/350-east-cermark-road/,41.8536495,-87.6183422
Chicago,https://www.datacentermap.com/usa/illinois/chicago/,600 S. Federal St. (ORD11),Digital Realty,"600 South Federal Street, Chicago, IL, 60605, USA",https://www.datacentermap.com/usa/illinois/chicago/600-780-south-federal/,41.8743024,-87.6299278
Chicago,https://www.datacentermap.com/usa/illinois/chicago/,Centersquare - Chicago ORD4-A,Centersquare,"4513 Western Ave, Lisle, IL, 60532, USA",https://www.datacentermap.com/usa/illinois/chicago/evoque-chi1/,41.802407,-88.0946556
Chicago,https://www.datacentermap.com/usa/illinois/chicago/,2200 Busse Road (CH1),Digital Realty,"2200 Busse Road, Elk Grove Village, IL, 60007, USA",https://www.datacentermap.com/usa/illinois/chicago/2200-busse-road/,41.9942501,-87.961949
Chicago,https://www.datacentermap.com/usa/illinois/chicago/,Centersquare - Chicago ORD1-D,Centersquare,"350 E Cermak Rd, Chicago, IL, 60616, USA",https://www.datacentermap.com/usa/illinois/chicago/centersquare-chicago-ord1-d/,41.853678,-87.61835339999999
Chicago,https://www.datacentermap.com/usa/illinois/chicago/,Centersquare - Chicago ORD1-C,Centersquare,"350 E Cermak Rd, Chicago, IL, 60616, USA",https://www.datacentermap.com/usa/illinois/chicago/centersquare-chicago-ord1-c/,41.853678,-87.61835339999999
Chicago,https://www.datacentermap.com/usa/illinois/chicago/,9355 Grand Ave (ORD13),Digital Realty,"9355 Grand Ave, Franklin Park, IL, 60131, USA",https://www.datacentermap.com/usa/illinois/chicago/digital-realty-chicago-ord13/,41.9276592,-87.8593414
Chicago,https://www.datacentermap.com/usa/illinois/chicago/,Stream DC Chicago I,Stream Data Centers,"2080 Lunt Avenue, Elk Grove Village, IL, 60007, USA",https://www.datacentermap.com/usa/illinois/chicago/chicago-i/,42.00704957550101,-87.95503366658885
Chicago,https://www.datacentermap.com/usa/illinois/chicago/,9333 Grand Avenue (ORD12),Digital Realty,"9333 Grand Avenue, Franklin Park, IL, 60131, USA",https://www.datacentermap.com/usa/illinois/chicago/9377-grand-avenue/,41.9266672,-87.8587419
Chicago,https://www.datacentermap.com/usa/illinois/chicago/,1400 East Devon Avenue (CH3),Digital Realty,"1400 East Devon Avenue, Elk Grove Village, IL, 60007, USA",https://www.datacentermap.com/usa/illinois/chicago/1400-east-devon-avenue/,41.9932812,-87.9651934
Chicago,https://www.datacentermap.com/usa/illinois/chicago/,9377 Grand Ave (ORD14),Digital Realty,"9377 Grand Ave, Franklin Park, IL, 60131, USA",https://www.datacentermap.com/usa/illinois/chicago/digital-realty-chicago-ord14/,41.9286176,-87.8587751
Chicago,https://www.datacentermap.com/usa/illinois/chicago/,Stream DC Chicago II,Stream Data Centers,"1925 Busse Road, Elk Grove Village, IL, 60007, USA",https://www.datacentermap.com/usa/illinois/chicago/chicago-ii/,41.99365419435963,-87.9599428471867
Chicago,https://www.datacentermap.com/usa/illinois/chicago/,505 N. Railroad Avenue (ORD23),Digital Realty,"505 North Railroad Avenue, Northlake, IL, 60164, USA",https://www.datacentermap.com/usa/illinois/chicago/505-north-railroad-avenue/,41.9202673,-87.9123343
Chicago,https://www.datacentermap.com/usa/illinois/chicago/,9401 West Grand Avenue (ORD15),Digital Realty,"9401 W Grand Ave, Franklin Park, IL, 60131, USA",https://www.datacentermap.com/usa/illinois/chicago/9401-west-grand-avenue-ord15/,41.92820050669781,-87.86129889720924
Chicago,https://www.datacentermap.com/usa/illinois/chicago/,2425-2553 Edgington Street (ORD22),Digital Realty,"2425-2553 Edgington St, Franklin Park, IL, 60131, USA",https://www.datacentermap.com/usa/illinois/chicago/2425-2553-edgington-street-ord22/,41.9243503,-87.86109019999999
Chicago,https://www.datacentermap.com/usa/illinois/chicago/,2299 Busse Road (CH2),Digital Realty,"2299 Busse Road, Elk Grove Village, IL, 60007, USA",https://www.datacentermap.com/usa/illinois/chicago/2299-busse-road/,41.9942568,-87.9583402
Chicago,https://www.datacentermap.com/usa/illinois/chicago/,Hivelocity - Chicago 1,Hivelocity,"350 East Cermak Road, Chicago, IL, 60616, USA",https://www.datacentermap.com/usa/illinois/chicago/hivelocity-chicago-1/,41.8531135,-87.6183281
Chicago,https://www.datacentermap.com/usa/illinois/chicago/,CyrusOne CHI5 - Lombard,CyrusOne Data Centers,"1850 Springers Drive, Lombard, IL, 60148, USA",https://www.datacentermap.com/usa/illinois/chicago/cyrusone-chicago/,41.8493407,-88.0287834
Chicago,https://www.datacentermap.com/usa/illinois/chicago/,Summit Elk Grove Village,Summit (formerly Deft),"2200 Busse Rd, Elk Grove Village, IL, 60007, USA",https://www.datacentermap.com/usa/illinois/chicago/elk-grove-village/,41.9942245,-87.962234
Chicago,https://www.datacentermap.com/usa/illinois/chicago/,NTT Chicago CH1,NTT Global Data Centers,"255 Pierce Road, Itasca, IL, 60143, USA",https://www.datacentermap.com/usa/illinois/chicago/ntt-ch1/,41.9876101,-88.01108470000001
