City,City URL,Data Center Name,Name,Address,Data Center URL,Latitude,Longitude
Detroit,https://www.datacentermap.com/usa/michigan/detroit/,123Net Southfield NW DC2,123Net,"24275 Northwestern Hwy., Southfield, MI, 48075, USA",https://www.datacentermap.com/usa/michigan/detroit/internet-123/,42.46665207659503,-83.23506116867065
Detroit,https://www.datacentermap.com/usa/michigan/detroit/,EdgeConneX Detroit - EDCDET01,EdgeConneX,"21005 Lahser Rd, Bldg 4, Southfield, MI, 48033, USA",https://www.datacentermap.com/usa/michigan/detroit/edgeconnex-edcdet01/,42.448537,-83.2612259
Detroit,https://www.datacentermap.com/usa/michigan/detroit/,US Signal Detroit MI03,"US Signal Company, LLC","9275 Haggerty Rd, Belleville, MI, 48111, USA",https://www.datacentermap.com/usa/michigan/detroit/us-signal-detroit-metro/,42.2353124,-83.4441197
Detroit,https://www.datacentermap.com/usa/michigan/detroit/,ManagedWay Data Center #1,ManagedWay Company,"319 Executive Dr, Troy, MI, 48083, USA",https://www.datacentermap.com/usa/michigan/detroit/waveform-troy-datacenter/,42.537172,-83.0998681
Detroit,https://www.datacentermap.com/usa/michigan/detroit/,TelNet Worldwide - SFLFMI72W00,TelNet Worldwide,"21005 Lasher Road Bldg 4, Southfield, MI, 48033, USA",https://www.datacentermap.com/usa/michigan/detroit/sflfmi72w00/,42.448537,-83.2612259
Detroit,https://www.datacentermap.com/usa/michigan/detroit/,ManagedWay Data Center #2,ManagedWay Company,"600 Executive Dr, Troy, MI, 48083, USA",https://www.datacentermap.com/usa/michigan/detroit/waveform-dc-2/,42.5406275,-83.0984188
Detroit,https://www.datacentermap.com/usa/michigan/detroit/,123Net Detroit DC1,123Net,"24700 Northwestern Hwy., Southfield, MI, 48075, USA",https://www.datacentermap.com/usa/michigan/detroit/123net-inc-dc1/,42.471539,-83.237771
Detroit,https://www.datacentermap.com/usa/michigan/detroit/,123Net Southfield W DC3,123Net,"24245 Northwestern Hwy., Southfield, MI, 48075, USA",https://www.datacentermap.com/usa/michigan/detroit/123net-inc-dc3/,42.46593978148631,-83.23431015014648
Detroit,https://www.datacentermap.com/usa/michigan/detroit/,Liberty Center One,Liberty Center One Data Center,"4815 Delemere Ave, Royal Oak, MI, 48073, USA",https://www.datacentermap.com/usa/michigan/detroit/liberty-center-one/,42.533334,-83.177469
Detroit,https://www.datacentermap.com/usa/michigan/detroit/,OTAVA Metro Detroit,OTAVA,"6435 North Hix Rd., Westland, MI, 48185, USA",https://www.datacentermap.com/usa/michigan/detroit/metro-detroit-1-data-center/,42.331051,-83.419518
Detroit,https://www.datacentermap.com/usa/michigan/detroit/,Cogent Data Center - Troy,"Cogent Communications, Inc.","3331 W Big Beaver Rd, Troy, MI, 48084, USA",https://www.datacentermap.com/usa/michigan/detroit/cogent-troy/,42.56101,-83.192587
Detroit,https://www.datacentermap.com/usa/michigan/detroit/,US Signal Detroit MI04,"US Signal Company, LLC","21648 Melrose Ave, Southfield, MI, 48075, USA",https://www.datacentermap.com/usa/michigan/detroit/us-signal-southfield/,42.446815,-83.256198
Detroit,https://www.datacentermap.com/usa/michigan/detroit/,365 Data Centers - Detroit,365 Data Centers,"24660 Lahser Road, Southfield, MI, 48034, USA",https://www.datacentermap.com/usa/michigan/detroit/switchdata-detroit/,42.469712,-83.260611
Detroit,https://www.datacentermap.com/usa/michigan/detroit/,OTAVA Ann Arbor 2,OTAVA,"5430 Data Court, Ann Arbor, MI, 48108, USA",https://www.datacentermap.com/usa/michigan/detroit/ann-arbor-2-data-center/,42.211021,-83.745217
Detroit,https://www.datacentermap.com/usa/michigan/detroit/,Clear Rate Troy Datacenter,Clear Rate Communications,"2600 W Big Beaver Rd, Troy, MI, 48034, USA",https://www.datacentermap.com/usa/michigan/detroit/clear-rate-troy-datacenter/,42.56279,-83.1799
Detroit,https://www.datacentermap.com/usa/michigan/detroit/,Cogent Data Center - Detroit,"Cogent Communications, Inc.","1320 3rd Ave, Detroit, MI, 48226, USA",https://www.datacentermap.com/usa/michigan/detroit/cogent-data-center-detroit/,42.330743,-83.05577339999999
Detroit,https://www.datacentermap.com/usa/michigan/detroit/,US Signal Detroit MI05,"US Signal Company, LLC","1035 W Entrance Dr, Auburn Hills, MI, 48326, USA",https://www.datacentermap.com/usa/michigan/detroit/us-signal-detroit-north/,42.6540236,-83.2139184
Detroit,https://www.datacentermap.com/usa/michigan/detroit/,21005 Lahser Road,EdgeConneX,"21005 Lahser Road, Building 4, Southfield, MI, 48033, USA",https://www.datacentermap.com/usa/michigan/detroit/21005-lahser-road/,42.448537,-83.2612259
Detroit,https://www.datacentermap.com/usa/michigan/detroit/,Nexcess Dearborn Data Center,NEXCESS.NET L.L.C.,"22015 W. Outer Drive, Dearborn, MI, 48124, USA",https://www.datacentermap.com/usa/michigan/detroit/nexcess-net-dc1/,42.334328,-83.261488
Detroit,https://www.datacentermap.com/usa/michigan/detroit/,Nexcess Southfield Data Center,NEXCESS.NET L.L.C.,"21700 Melrose Ave, Southfield, MI, 48075, USA",https://www.datacentermap.com/usa/michigan/detroit/eliterax/,42.446356,-83.256776
Detroit,https://www.datacentermap.com/usa/michigan/detroit/,RT Software Systems,RT Software Hosting,"3811 West 12 Mile Road, Berkley, MI, 48072, USA",https://www.datacentermap.com/usa/michigan/detroit/rt-3811/,42.5027567,-83.1985716
Detroit,https://www.datacentermap.com/usa/michigan/detroit/,Windstream Farmington Hills,Windstream,"23629 Industrial Park Dr, Farmington Hills, MI, 48335, USA",https://www.datacentermap.com/usa/michigan/detroit/windstream-farmington-hills/,42.46193210000001,-83.421101
Detroit,https://www.datacentermap.com/usa/michigan/detroit/,Awecomm Technologies Data Center,Awecomm Technologies,"165 Kirts Blvd #400, Troy, MI, 48084, USA",https://www.datacentermap.com/usa/michigan/detroit/awecomm-technologies/,42.5554917,-83.1495198
Detroit,https://www.datacentermap.com/usa/michigan/detroit/,Verizon Detroit #2,Verizon Communications Inc.,"21555 Melrose Ave., Southfield, MI, 48075, USA",https://www.datacentermap.com/usa/michigan/detroit/xo-detroit2/,42.4472794,-83.2554361
Detroit,https://www.datacentermap.com/usa/michigan/detroit/,Lumen Detroit,Lumen,"19675 West Ten Mile Road, Southfield, MI, 48075, USA",https://www.datacentermap.com/usa/michigan/detroit/level3-detroit/,42.472908,-83.240117
Detroit,https://www.datacentermap.com/usa/michigan/detroit/,Lumen Detroit 3,Lumen,"1965 Porter, Detroit, MI, 48216, USA",https://www.datacentermap.com/usa/michigan/detroit/level3-detroit3/,42.325094,-83.069586
Grand Rapids,https://www.datacentermap.com/usa/michigan/grand-rapids/,US Signal Grand Rapids MI01,"US Signal Company, LLC","4765 Barden Ct. SE, Kentwood, MI, 49512, USA",https://www.datacentermap.com/usa/michigan/grand-rapids/us-signal-barden-ct/,42.87684861556736,-85.56395351886749
Grand Rapids,https://www.datacentermap.com/usa/michigan/grand-rapids/,US Signal Grand Rapids MI02,"US Signal Company, LLC","400 76th St SW, Grand Rapids, MI, 49509, USA",https://www.datacentermap.com/usa/michigan/grand-rapids/us-signal-grand-rapids/,42.826211,-85.654089
Grand Rapids,https://www.datacentermap.com/usa/michigan/grand-rapids/,123Net Grand Rapids DC4,123Net,"400 S. 76th Street, Byron Center, MI, 49315, USA",https://www.datacentermap.com/usa/michigan/grand-rapids/123net-inc-dc4/,42.825306,-85.672738
Grand Rapids,https://www.datacentermap.com/usa/michigan/grand-rapids/,Switch GRAND RAPIDS,Switch,"6100 E Paris Ave, Caledonia, MI, 49316, USA",https://www.datacentermap.com/usa/michigan/grand-rapids/switch-grand-rapids/,42.85182182679113,-85.56049346923828
Grand Rapids,https://www.datacentermap.com/usa/michigan/grand-rapids/,Iserv Data Center,382 Communications,"5222 33rd St, Grand Rapids, MI, 49512, USA",https://www.datacentermap.com/usa/michigan/grand-rapids/iserv-company/,42.902887,-85.538644
Grand Rapids,https://www.datacentermap.com/usa/michigan/grand-rapids/,Everstream Grand Rapids Data Center,Everstream,"3950 Sparks Ave SE, Grand Rapids, MI, 49546, USA",https://www.datacentermap.com/usa/michigan/grand-rapids/comlink-grand-rapids/,42.914982,-85.56987
Grand Rapids,https://www.datacentermap.com/usa/michigan/grand-rapids/,400 South 76th Street,"76th Business Complex, LLC","400 S 76 Street, Byron Center, MI, 49315, USA",https://www.datacentermap.com/usa/michigan/grand-rapids/400-south-76th/,42.825306,-85.672738
Grand Rapids,https://www.datacentermap.com/usa/michigan/grand-rapids/,CBTS Grand Rapids Data Center,CBTS,"5832 Rivers Edge Rd, Grand Rapids, MI, 49503, USA",https://www.datacentermap.com/usa/michigan/grand-rapids/cbts-grand-rapids-data-center/,42.9633599,-85.6680863
Grand Rapids,https://www.datacentermap.com/usa/michigan/grand-rapids/,Altafiber Grand Rapids,Altafiber,"333 Bridge St. NW, Grand Rapids, MI, 49503, USA",https://www.datacentermap.com/usa/michigan/grand-rapids/gramtel-grand-rapids/,42.97052,-85.67682
Mount Pleasant,https://www.datacentermap.com/usa/michigan/mount-pleasant/,CMS Internet Mount Pleasant,CMS Internet,"131 S Main St, Mount Pleasant, MI, 48858, USA",https://www.datacentermap.com/usa/michigan/mount-pleasant/cms-internet-mount-pleasant-data-center/,42.5121735,-84.655422
Lansing,https://www.datacentermap.com/usa/michigan/lansing/,ACD.net MetroIX,ACD.net,"1800 N Grand River Ave, Lansing, MI, 48906, USA",https://www.datacentermap.com/usa/michigan/lansing/acd-metroix/,42.754157,-84.556996
Lansing,https://www.datacentermap.com/usa/michigan/lansing/,Liquid Web Lansing A,Liquid Web,"4428 Creyts Rd, Lansing, MI, 48917, USA",https://www.datacentermap.com/usa/michigan/lansing/liquid-web-idc2/,42.6879568,-84.6429951
Lansing,https://www.datacentermap.com/usa/michigan/lansing/,Liquid Web Lansing B,Liquid Web,"4210 Creyts, Lansing, MI, 48917, USA",https://www.datacentermap.com/usa/michigan/lansing/liquid-web-dc1/,42.70539812149829,-84.66609477996826
Lansing,https://www.datacentermap.com/usa/michigan/lansing/,Everstream East Lansing Data Center,Everstream,"1515 Turf Lane, East Lansing, MI, 48823, USA",https://www.datacentermap.com/usa/michigan/lansing/comlink/,42.769774,-84.504974
Lansing,https://www.datacentermap.com/usa/michigan/lansing/,Lumen Communications,Lumen,"1206 May Street, Lansing, MI, 48906, USA",https://www.datacentermap.com/usa/michigan/lansing/level3-communications/,42.741976,-84.534342
Ann Arbor,https://www.datacentermap.com/usa/michigan/ann-arbor/,OTAVA Ann Arbor,OTAVA,"640 Avis Drive, Ann Arbor, MI, 48104, USA",https://www.datacentermap.com/usa/michigan/ann-arbor/onlinetech-avis-drive/,42.21174,-83.74028
Ann Arbor,https://www.datacentermap.com/usa/michigan/ann-arbor/,Synergy Broadband State Street,Synergy Broadband,"3131 S. State, Ann Arbor, MI, 48108, USA",https://www.datacentermap.com/usa/michigan/ann-arbor/synergy-broadband-state-street/,42.2415737,-83.7375684
Ann Arbor,https://www.datacentermap.com/usa/michigan/ann-arbor/,Velocity Data Center,Velocity Data Centers,"6163 Jackson Road, Ann Arbor, MI, 48103, USA",https://www.datacentermap.com/usa/michigan/ann-arbor/velocity-data-center/,42.2896388,-83.8520746
Battle Creek,https://www.datacentermap.com/usa/michigan/battle-creek/,Clear Rate Battle Creek POP,Clear Rate Communications,"62 Michigan Ave E, Battle Creek, MI, 49017, USA",https://www.datacentermap.com/usa/michigan/battle-creek/battle-creek-pop/,42.3173,-85.1810469
Battle Creek,https://www.datacentermap.com/usa/michigan/battle-creek/,Metronet Galesburg,Metronet,"13800 E Michigan Ave, Galesburg, MI, 49053, USA",https://www.datacentermap.com/usa/michigan/battle-creek/cts-telecom/,42.2804706,-85.3588204
Battle Creek,https://www.datacentermap.com/usa/michigan/battle-creek/,Unmapped Data Centers,,", Battle Creek, MI, , USA",https://www.datacentermap.comNone,42.315367,-85.191078
Alpena,https://www.datacentermap.com/usa/michigan/alpena/,"1010 Technology Center, Inc","1010 Technology Center, Inc","1010 US 23 North, Alpena, MI, 49707, USA",https://www.datacentermap.com/usa/michigan/alpena/1010-technology-center-inc/,45.0616794,-83.4327528
Cassopolis,https://www.datacentermap.com/usa/michigan/cassopolis/,MEC Data Center,Midwest Energy & Communications,"60590 Decatur Road, Cassopolis, MI, 49031, USA",https://www.datacentermap.com/usa/michigan/cassopolis/mec-data-center/,41.9189882,-85.9736128
Kalamazoo,https://www.datacentermap.com/usa/michigan/kalamazoo/,Aunalytics Kalamazoo Data Center,Aunalytics,"6395 Technology Ave, Kalamazoo, MI, 49009, USA",https://www.datacentermap.com/usa/michigan/kalamazoo/secant-tier-3-dc/,42.2464108,-85.6752039
Kalamazoo,https://www.datacentermap.com/usa/michigan/kalamazoo/,Hyperscale Data Michigan,"Hyperscale Data, Inc.","415 E Prairie Ronde St, Dowagiac, MI, 49047, USA",https://www.datacentermap.com/usa/michigan/kalamazoo/hyperscale-data-michigan/,41.992413,-86.098981
Flint,https://www.datacentermap.com/usa/michigan/flint/,OTAVA Mid-Michigan,OTAVA,"5225 Exchange Drive, Flint, MI, 48507, USA",https://www.datacentermap.com/usa/michigan/flint/onlinetech-exchange-drive/,42.968757,-83.77964
Monroe MI,https://www.datacentermap.com/usa/michigan/monroe-mi/,Telesystem DC-2,"Buckeye Telesystem, Inc","1240 Huber Drive, Monroe, MI, 48162, USA",https://www.datacentermap.com/usa/michigan/monroe-mi/telesystem-data-center-2/,41.9362994,-83.4050433
