City,City URL,Data Center Name,Description,Data Center URL
Detroit,https://www.datacentermap.com/usa/michigan/detroit/,123Net Southfield NW DC2,"123Net, 24275 Northwestern Hwy., 48075 Southfield",https://www.datacentermap.com/usa/michigan/detroit/internet-123/
Detroit,https://www.datacentermap.com/usa/michigan/detroit/,EdgeConneX Detroit - EDCDET01,"EdgeConneX, 21005 Lahser Rd, Bldg 4, 48033 Southfield",https://www.datacentermap.com/usa/michigan/detroit/edgeconnex-edcdet01/
Detroit,https://www.datacentermap.com/usa/michigan/detroit/,US Signal Detroit MI03,"US Signal Company, LLC, 9275 Haggerty Rd, 48111 Belleville",https://www.datacentermap.com/usa/michigan/detroit/us-signal-detroit-metro/
Detroit,https://www.datacentermap.com/usa/michigan/detroit/,ManagedWay Data Center #1,"ManagedWay Company, 319 Executive Dr, 48083 Troy",https://www.datacentermap.com/usa/michigan/detroit/waveform-troy-datacenter/
Detroit,https://www.datacentermap.com/usa/michigan/detroit/,TelNet Worldwide - SFLFMI72W00,"TelNet Worldwide, 21005 Lasher Road Bldg 4, 48033 Southfield",https://www.datacentermap.com/usa/michigan/detroit/sflfmi72w00/
Detroit,https://www.datacentermap.com/usa/michigan/detroit/,ManagedWay Data Center #2,"ManagedWay Company, 600 Executive Dr, 48083 Troy",https://www.datacentermap.com/usa/michigan/detroit/waveform-dc-2/
Detroit,https://www.datacentermap.com/usa/michigan/detroit/,123Net Detroit DC1,"123Net, 24700 Northwestern Hwy., 48075 Southfield",https://www.datacentermap.com/usa/michigan/detroit/123net-inc-dc1/
Detroit,https://www.datacentermap.com/usa/michigan/detroit/,123Net Southfield W DC3,"123Net, 24245 Northwestern Hwy., 48075 Southfield",https://www.datacentermap.com/usa/michigan/detroit/123net-inc-dc3/
Detroit,https://www.datacentermap.com/usa/michigan/detroit/,Liberty Center One,"Liberty Center One Data Center, 4815 Delemere Ave, 48073 Royal Oak",https://www.datacentermap.com/usa/michigan/detroit/liberty-center-one/
Detroit,https://www.datacentermap.com/usa/michigan/detroit/,OTAVA Metro Detroit,"OTAVA, 6435 North Hix Rd., 48185 Westland",https://www.datacentermap.com/usa/michigan/detroit/metro-detroit-1-data-center/
Detroit,https://www.datacentermap.com/usa/michigan/detroit/,Cogent Data Center - Troy,"Cogent Communications, Inc., 3331 W Big Beaver Rd, 48084 Troy",https://www.datacentermap.com/usa/michigan/detroit/cogent-troy/
Detroit,https://www.datacentermap.com/usa/michigan/detroit/,US Signal Detroit MI04,"US Signal Company, LLC, 21648 Melrose Ave, 48075 Southfield",https://www.datacentermap.com/usa/michigan/detroit/us-signal-southfield/
Detroit,https://www.datacentermap.com/usa/michigan/detroit/,365 Data Centers - Detroit,"365 Data Centers, 24660 Lahser Road, 48034 Southfield",https://www.datacentermap.com/usa/michigan/detroit/switchdata-detroit/
Detroit,https://www.datacentermap.com/usa/michigan/detroit/,OTAVA Ann Arbor 2,"OTAVA, 5430 Data Court, 48108 Ann Arbor",https://www.datacentermap.com/usa/michigan/detroit/ann-arbor-2-data-center/
Detroit,https://www.datacentermap.com/usa/michigan/detroit/,Clear Rate Troy Datacenter,"Clear Rate Communications, 2600 W Big Beaver Rd, 48034 Troy",https://www.datacentermap.com/usa/michigan/detroit/clear-rate-troy-datacenter/
Detroit,https://www.datacentermap.com/usa/michigan/detroit/,Cogent Data Center - Detroit,"Cogent Communications, Inc., 1320 3rd Ave, 48226 Detroit",https://www.datacentermap.com/usa/michigan/detroit/cogent-data-center-detroit/
Detroit,https://www.datacentermap.com/usa/michigan/detroit/,US Signal Detroit MI05,"US Signal Company, LLC, 1035 W Entrance Dr, 48326 Auburn Hills",https://www.datacentermap.com/usa/michigan/detroit/us-signal-detroit-north/
Detroit,https://www.datacentermap.com/usa/michigan/detroit/,21005 Lahser Road,"EdgeConneX, 21005 Lahser Road, Building 4, 48033 Southfield",https://www.datacentermap.com/usa/michigan/detroit/21005-lahser-road/
Detroit,https://www.datacentermap.com/usa/michigan/detroit/,Nexcess Southfield Data Center,"NEXCESS.NET L.L.C., 21700 Melrose Ave, 48075 Southfield",https://www.datacentermap.com/usa/michigan/detroit/eliterax/
Detroit,https://www.datacentermap.com/usa/michigan/detroit/,Nexcess Dearborn Data Center,"NEXCESS.NET L.L.C., 22015 W. Outer Drive, 48124 Dearborn",https://www.datacentermap.com/usa/michigan/detroit/nexcess-net-dc1/
Detroit,https://www.datacentermap.com/usa/michigan/detroit/,RT Software Systems,"RT Software Hosting, 3811 West 12 Mile Road, 48072 Berkley",https://www.datacentermap.com/usa/michigan/detroit/rt-3811/
Detroit,https://www.datacentermap.com/usa/michigan/detroit/,Windstream Farmington Hills,"Windstream, 23629 Industrial Park Dr, 48335 Farmington Hills",https://www.datacentermap.com/usa/michigan/detroit/windstream-farmington-hills/
Detroit,https://www.datacentermap.com/usa/michigan/detroit/,Awecomm Technologies Data Center,"Awecomm Technologies, 165 Kirts Blvd #400, 48084 Troy",https://www.datacentermap.com/usa/michigan/detroit/awecomm-technologies/
Detroit,https://www.datacentermap.com/usa/michigan/detroit/,Verizon Detroit #2,"Verizon Communications Inc., 21555 Melrose Ave., 48075 Southfield",https://www.datacentermap.com/usa/michigan/detroit/xo-detroit2/
Detroit,https://www.datacentermap.com/usa/michigan/detroit/,Lumen Detroit,"Lumen, 19675 West Ten Mile Road, 48075 Southfield",https://www.datacentermap.com/usa/michigan/detroit/level3-detroit/
Detroit,https://www.datacentermap.com/usa/michigan/detroit/,Lumen Detroit 3,"Lumen, 1965 Porter, 48216 Detroit",https://www.datacentermap.com/usa/michigan/detroit/level3-detroit3/
Grand Rapids,https://www.datacentermap.com/usa/michigan/grand-rapids/,US Signal Grand Rapids MI01,"US Signal Company, LLC, 4765 Barden Ct. SE, 49512 Kentwood",https://www.datacentermap.com/usa/michigan/grand-rapids/us-signal-barden-ct/
Grand Rapids,https://www.datacentermap.com/usa/michigan/grand-rapids/,US Signal Grand Rapids MI02,"US Signal Company, LLC, 400 76th St SW, 49509 Grand Rapids",https://www.datacentermap.com/usa/michigan/grand-rapids/us-signal-grand-rapids/
Grand Rapids,https://www.datacentermap.com/usa/michigan/grand-rapids/,123Net Grand Rapids DC4,"123Net, 400 S. 76th Street, 49315 Byron Center",https://www.datacentermap.com/usa/michigan/grand-rapids/123net-inc-dc4/
Grand Rapids,https://www.datacentermap.com/usa/michigan/grand-rapids/,Switch GRAND RAPIDS,"Switch, 6100 E Paris Ave, 49316 Caledonia",https://www.datacentermap.com/usa/michigan/grand-rapids/switch-grand-rapids/
Grand Rapids,https://www.datacentermap.com/usa/michigan/grand-rapids/,Iserv Data Center,"382 Communications, 5222 33rd St, 49512 Grand Rapids",https://www.datacentermap.com/usa/michigan/grand-rapids/iserv-company/
Grand Rapids,https://www.datacentermap.com/usa/michigan/grand-rapids/,Everstream Grand Rapids Data Center,"Everstream, 3950 Sparks Ave SE, 49546 Grand Rapids",https://www.datacentermap.com/usa/michigan/grand-rapids/comlink-grand-rapids/
